model,tag,precision,recall,f1
model103_95,Overall,0.4651,0.0374,0.0692
model103_95,LOC,0.0,0.0,0.0
model103_95,ORG,0.0,0.0,0.0
model103_95,PER,0.4762,0.1538,0.2326
model13000_60,Overall,0.7738,0.729,0.7507
model13000_60,LOC,0.5,0.5,0.5
model13000_60,ORG,0.8195,0.7291,0.7717
model13000_60,PER,0.9015,0.9154,0.9084
model13000_65,Overall,0.7649,0.7178,0.7406
model13000_65,LOC,0.5248,0.5,0.5121
model13000_65,ORG,0.7955,0.7157,0.7535
model13000_65,PER,0.8864,0.9,0.8931
model13000_70,Overall,0.757,0.6579,0.704
model13000_70,LOC,0.4886,0.4057,0.4433
model13000_70,ORG,0.7742,0.6421,0.702
model13000_70,PER,0.907,0.9,0.9035
model13000_75,Overall,0.799,0.6093,0.6914
model13000_75,LOC,0.5614,0.3019,0.3926
model13000_75,ORG,0.7973,0.592,0.6795
model13000_75,PER,0.907,0.9,0.9035
model19500_60,Overall,0.7554,0.7159,0.7351
model19500_60,LOC,0.5253,0.4906,0.5073
model19500_60,ORG,0.7729,0.7057,0.7378
model19500_60,PER,0.8889,0.9231,0.9057
model19500_65,Overall,0.7573,0.7234,0.74
model19500_65,LOC,0.5161,0.4528,0.4824
model19500_65,ORG,0.7774,0.7358,0.756
model19500_65,PER,0.8815,0.9154,0.8981
model19500_70,Overall,0.7635,0.6879,0.7237
model19500_70,LOC,0.4894,0.434,0.46
model19500_70,ORG,0.7899,0.6789,0.7302
model19500_70,PER,0.9084,0.9154,0.9119
model25254_70,Overall,0.732,0.6636,0.6961
model25254_70,LOC,0.402,0.3868,0.3942
model25254_70,ORG,0.7787,0.6589,0.7138
model25254_70,PER,0.9,0.9,0.9
model26000_60,Overall,0.7596,0.7383,0.7488
model26000_60,LOC,0.5091,0.5283,0.5185
model26000_60,ORG,0.7921,0.7391,0.7647
model26000_60,PER,0.9008,0.9077,0.9042
model26000_65,Overall,0.746,0.6916,0.7177
model26000_65,LOC,0.4082,0.3774,0.3922
model26000_65,ORG,0.794,0.709,0.7491
model26000_65,PER,0.9008,0.9077,0.9042
model2729_85,Overall,0.8494,0.3794,0.5245
model2729_85,LOC,0.5652,0.1226,0.2016
model2729_85,ORG,0.871,0.3612,0.5106
model2729_85,PER,0.8913,0.6308,0.7387
model32500_60,Overall,0.7795,0.7402,0.7593
model32500_60,LOC,0.549,0.5283,0.5385
model32500_60,ORG,0.8125,0.7391,0.7741
model32500_60,PER,0.8881,0.9154,0.9015
model32500_65,Overall,0.7897,0.7159,0.751
model32500_65,LOC,0.6173,0.4717,0.5348
model32500_65,ORG,0.7883,0.7224,0.7539
model32500_65,PER,0.9,0.9,0.9
model38307_65,Overall,0.7739,0.6972,0.7335
model38307_65,LOC,0.5056,0.4245,0.4615
model38307_65,ORG,0.8038,0.699,0.7478
model38307_65,PER,0.8947,0.9154,0.9049
model39000_60,Overall,0.7846,0.7421,0.7627
model39000_60,LOC,0.5306,0.4906,0.5098
model39000_60,ORG,0.8205,0.7492,0.7832
model39000_60,PER,0.8963,0.9308,0.9132
model45500_60,Overall,0.7668,0.7252,0.7454
model45500_60,LOC,0.5618,0.4717,0.5128
model45500_60,ORG,0.7676,0.7291,0.7479
model45500_60,PER,0.9023,0.9231,0.9125
model50163_60,Overall,0.7843,0.7271,0.7546
model50163_60,LOC,0.5591,0.4906,0.5226
model50163_60,ORG,0.8088,0.7358,0.7706
model50163_60,PER,0.8931,0.9,0.8966
model6500_60,Overall,0.7369,0.7121,0.7243
model6500_60,LOC,0.5208,0.4717,0.495
model6500_60,ORG,0.7396,0.7124,0.7257
model6500_60,PER,0.8872,0.9077,0.8973
model6500_65,Overall,0.7495,0.6935,0.7204
model6500_65,LOC,0.6176,0.3962,0.4828
model6500_65,ORG,0.7167,0.7023,0.7095
model6500_65,PER,0.8881,0.9154,0.9015
model6500_70,Overall,0.7106,0.6243,0.6647
model6500_70,LOC,0.413,0.3585,0.3838
model6500_70,ORG,0.728,0.6087,0.663
model6500_70,PER,0.8906,0.8769,0.8837
model6500_75,Overall,0.7955,0.5888,0.6767
model6500_75,LOC,0.54,0.2547,0.3462
model6500_75,ORG,0.7953,0.5719,0.6654
model6500_75,PER,0.8931,0.9,0.8966
model6500_80,Overall,0.7884,0.5084,0.6182
model6500_80,LOC,0.6667,0.1698,0.2707
model6500_80,ORG,0.7277,0.4649,0.5673
model6500_80,PER,0.9055,0.8846,0.8949
model759_90,Overall,0.5,0.0729,0.1272
model759_90,LOC,0.0,0.0,0.0
model759_90,ORG,0.25,0.0033,0.0066
model759_90,PER,0.7755,0.2923,0.4246
estbertner,Overall,0.7781,0.4916,0.6025
estbertner,LOC,0.5672,0.3585,0.4393
estbertner,ORG,0.7955,0.3512,0.4872
estbertner,PER,0.8633,0.9231,0.8922
opetaja,Overall,0.5177,0.5477,0.5322
opetaja,LOC,0.2147,0.3302,0.2602
opetaja,ORG,0.6043,0.5619,0.5823
opetaja,PER,0.72,0.6923,0.7059
tudeng,Overall,0.7067,0.6935,0.7
tudeng,LOC,0.5234,0.5283,0.5258
tudeng,ORG,0.7704,0.6957,0.7311
tudeng,PER,0.723,0.8231,0.7698
