model,tag,precision,recall,f1
model1085_90,Overall,0.7156,0.1682,0.2723
model1085_90,LOC,0.0,0.0,0.0
model1085_90,ORG,0.5,0.0189,0.0364
model1085_90,PER,0.73,0.3753,0.4958
model13000_60,Overall,0.5162,0.6036,0.5565
model13000_60,LOC,0.4803,0.5492,0.5124
model13000_60,ORG,0.5874,0.5962,0.5918
model13000_60,PER,0.498,0.6427,0.5612
model13000_65,Overall,0.5131,0.5869,0.5475
model13000_65,LOC,0.4545,0.5123,0.4817
model13000_65,ORG,0.6008,0.5849,0.5927
model13000_65,PER,0.5,0.635,0.5595
model13000_70,Overall,0.52,0.5657,0.5419
model13000_70,LOC,0.4556,0.4836,0.4692
model13000_70,ORG,0.6229,0.5547,0.5868
model13000_70,PER,0.5041,0.6247,0.558
model13000_75,Overall,0.5737,0.5546,0.564
model13000_75,LOC,0.4788,0.4631,0.4708
model13000_75,ORG,0.732,0.5358,0.6187
model13000_75,PER,0.5548,0.6247,0.5877
model181_95,Overall,0.7559,0.107,0.1875
model181_95,LOC,0.0,0.0,0.0
model181_95,ORG,0.0,0.0,0.0
model181_95,PER,0.7619,0.2474,0.3735
model19500_60,Overall,0.5204,0.6102,0.5618
model19500_60,LOC,0.461,0.5574,0.5046
model19500_60,ORG,0.6075,0.6075,0.6075
model19500_60,PER,0.5091,0.6452,0.5692
model19500_65,Overall,0.51,0.5958,0.5496
model19500_65,LOC,0.4356,0.541,0.4826
model19500_65,ORG,0.6069,0.6,0.6034
model19500_65,PER,0.5041,0.6272,0.559
model19500_70,Overall,0.5346,0.5935,0.5625
model19500_70,LOC,0.5,0.5328,0.5159
model19500_70,ORG,0.6327,0.5849,0.6078
model19500_70,PER,0.5041,0.6375,0.563
model23220_70,Overall,0.5834,0.5802,0.5818
model23220_70,LOC,0.4903,0.5164,0.503
model23220_70,ORG,0.6991,0.5698,0.6279
model23220_70,PER,0.581,0.6272,0.6032
model26000_60,Overall,0.5228,0.6125,0.5641
model26000_60,LOC,0.4488,0.5574,0.4973
model26000_60,ORG,0.6374,0.6302,0.6338
model26000_60,PER,0.5072,0.635,0.5639
model26000_65,Overall,0.5295,0.6091,0.5665
model26000_65,LOC,0.4982,0.5656,0.5298
model26000_65,ORG,0.6084,0.6038,0.6061
model26000_65,PER,0.5051,0.6401,0.5646
model32500_60,Overall,0.5164,0.5958,0.5533
model32500_60,LOC,0.4236,0.5,0.4586
model32500_60,ORG,0.6342,0.6151,0.6245
model32500_60,PER,0.5092,0.6427,0.5682
model32500_65,Overall,0.5241,0.6058,0.562
model32500_65,LOC,0.4608,0.5533,0.5028
model32500_65,ORG,0.6169,0.6075,0.6122
model32500_65,PER,0.5124,0.6375,0.5682
model39000_60,Overall,0.5187,0.6036,0.5579
model39000_60,LOC,0.4475,0.541,0.4898
model39000_60,ORG,0.5993,0.6151,0.6071
model39000_60,PER,0.5167,0.635,0.5698
model3901_85,Overall,0.7366,0.3051,0.4315
model3901_85,LOC,0.0,0.0,0.0
model3901_85,ORG,0.9043,0.3208,0.4735
model3901_85,PER,0.759,0.4859,0.5925
model45371_60,Overall,0.5292,0.6147,0.5688
model45371_60,LOC,0.4682,0.5738,0.5157
model45371_60,ORG,0.6318,0.6151,0.6233
model45371_60,PER,0.5123,0.6401,0.5691
model6500_60,Overall,0.5091,0.5947,0.5485
model6500_60,LOC,0.4216,0.4959,0.4557
model6500_60,ORG,0.6241,0.6264,0.6252
model6500_60,PER,0.498,0.635,0.5582
model6500_65,Overall,0.475,0.529,0.5005
model6500_65,LOC,0.3062,0.3238,0.3147
model6500_65,ORG,0.6064,0.5698,0.5875
model6500_65,PER,0.497,0.6298,0.5556
model6500_70,Overall,0.4918,0.5334,0.5118
model6500_70,LOC,0.3408,0.373,0.3562
model6500_70,ORG,0.6455,0.5358,0.5856
model6500_70,PER,0.5051,0.6324,0.5616
model6500_75,Overall,0.5192,0.5111,0.5152
model6500_75,LOC,0.3099,0.3074,0.3086
model6500_75,ORG,0.7292,0.5283,0.6127
model6500_75,PER,0.5422,0.6272,0.5816
model6500_80,Overall,0.5327,0.471,0.5
model6500_80,LOC,0.3333,0.3033,0.3176
model6500_80,ORG,0.7676,0.4113,0.5356
model6500_80,PER,0.5581,0.617,0.5861
estbertner,Overall,0.4119,0.3935,0.4025
estbertner,LOC,0.1931,0.1148,0.144
estbertner,ORG,0.5805,0.3811,0.4601
estbertner,PER,0.4164,0.5773,0.4838
opetaja,Overall,0.2924,0.4744,0.3618
opetaja,LOC,0.1248,0.3648,0.186
opetaja,ORG,0.4676,0.517,0.491
opetaja,PER,0.4435,0.5141,0.4762
tudeng,Overall,0.565,0.6682,0.6122
tudeng,LOC,0.4785,0.5943,0.5302
tudeng,ORG,0.6259,0.6377,0.6318
tudeng,PER,0.5849,0.7352,0.6515
