model,tag,precision,recall,f1
model10091_80,Overall,0.8299,0.5421,0.6558
model10091_80,LOC,0.1154,0.0196,0.0335
model10091_80,ORG,0.8857,0.694,0.7782
model10091_80,PER,0.875,0.7688,0.8185
model119_95,Overall,0.0,0.0,0.0
model119_95,LOC,0.0,0.0,0.0
model119_95,ORG,0.0,0.0,0.0
model119_95,PER,0.0,0.0,0.0
model1240_90,Overall,0.8814,0.2884,0.4346
model1240_90,LOC,0.0,0.0,0.0
model1240_90,ORG,0.9576,0.4216,0.5855
model1240_90,PER,0.7838,0.3372,0.4715
model13000_60,Overall,0.7428,0.6953,0.7183
model13000_60,LOC,0.3786,0.2549,0.3047
model13000_60,ORG,0.8088,0.8209,0.8148
model13000_60,PER,0.8508,0.8902,0.8701
model13000_65,Overall,0.7212,0.6532,0.6855
model13000_65,LOC,0.3495,0.2353,0.2812
model13000_65,ORG,0.7893,0.7687,0.7788
model13000_65,PER,0.8391,0.8439,0.8415
model13000_70,Overall,0.7529,0.6465,0.6957
model13000_70,LOC,0.1978,0.1176,0.1475
model13000_70,ORG,0.872,0.8134,0.8417
model13000_70,PER,0.8757,0.8555,0.8655
model13000_75,Overall,0.7795,0.601,0.6787
model13000_75,LOC,0.25,0.0784,0.1194
model13000_75,ORG,0.8554,0.7724,0.8118
model13000_75,PER,0.8214,0.7977,0.8094
model18600_75,Overall,0.7547,0.6061,0.6723
model18600_75,LOC,0.2188,0.0915,0.129
model18600_75,ORG,0.85,0.7612,0.8031
model18600_75,PER,0.8208,0.8208,0.8208
model19500_60,Overall,0.7491,0.7037,0.7257
model19500_60,LOC,0.3814,0.2941,0.3321
model19500_60,ORG,0.8378,0.8097,0.8235
model19500_60,PER,0.8619,0.9017,0.8814
model19500_65,Overall,0.7245,0.6684,0.6953
model19500_65,LOC,0.2797,0.2157,0.2435
model19500_65,ORG,0.8061,0.791,0.7985
model19500_65,PER,0.9102,0.8786,0.8941
model19500_70,Overall,0.7151,0.6296,0.6697
model19500_70,LOC,0.2022,0.1176,0.1488
model19500_70,ORG,0.8161,0.7948,0.8053
model19500_70,PER,0.8266,0.8266,0.8266
model26000_60,Overall,0.7398,0.7037,0.7213
model26000_60,LOC,0.3866,0.3007,0.3382
model26000_60,ORG,0.8022,0.8022,0.8022
model26000_60,PER,0.882,0.9075,0.8946
model26000_65,Overall,0.7495,0.6902,0.7187
model26000_65,LOC,0.3833,0.3007,0.337
model26000_65,ORG,0.8192,0.7948,0.8068
model26000_65,PER,0.9042,0.8728,0.8882
model26000_70,Overall,0.6969,0.596,0.6425
model26000_70,LOC,0.1235,0.0654,0.0855
model26000_70,ORG,0.7961,0.7575,0.7763
model26000_70,PER,0.8198,0.815,0.8174
model29401_70,Overall,0.7575,0.6414,0.6946
model29401_70,LOC,0.321,0.1699,0.2222
model29401_70,ORG,0.8242,0.7873,0.8053
model29401_70,PER,0.8675,0.8324,0.8496
model32500_60,Overall,0.7424,0.6987,0.7199
model32500_60,LOC,0.4034,0.3137,0.3529
model32500_60,ORG,0.8053,0.7873,0.7962
model32500_60,PER,0.8764,0.9017,0.8889
model32500_65,Overall,0.7437,0.6987,0.7205
model32500_65,LOC,0.425,0.3333,0.3736
model32500_65,ORG,0.834,0.806,0.8197
model32500_65,PER,0.8268,0.8555,0.8409
model39000_60,Overall,0.7306,0.6987,0.7143
model39000_60,LOC,0.3543,0.2941,0.3214
model39000_60,ORG,0.8123,0.791,0.8015
model39000_60,PER,0.8778,0.9133,0.8952
model39000_65,Overall,0.7291,0.6616,0.6937
model39000_65,LOC,0.3981,0.268,0.3203
model39000_65,ORG,0.8038,0.7799,0.7917
model39000_65,PER,0.8125,0.8266,0.8195
model45500_60,Overall,0.7594,0.7172,0.7377
model45500_60,LOC,0.4426,0.3529,0.3927
model45500_60,ORG,0.8038,0.7948,0.7992
model45500_60,PER,0.9138,0.9191,0.9164
model4745_85,Overall,0.8851,0.4411,0.5888
model4745_85,LOC,0.0,0.0,0.0
model4745_85,ORG,0.8914,0.5821,0.7043
model4745_85,PER,0.8908,0.6127,0.726
model50241_60,Overall,0.7443,0.7205,0.7322
model50241_60,LOC,0.4409,0.366,0.4
model50241_60,ORG,0.7903,0.7873,0.7888
model50241_60,PER,0.8895,0.9306,0.9096
model6500_60,Overall,0.704,0.6566,0.6794
model6500_60,LOC,0.2685,0.1895,0.2222
model6500_60,ORG,0.781,0.7985,0.7897
model6500_60,PER,0.8547,0.8497,0.8522
model6500_65,Overall,0.7274,0.6639,0.6942
model6500_65,LOC,0.2929,0.1895,0.2302
model6500_65,ORG,0.7904,0.8022,0.7963
model6500_65,PER,0.8779,0.8678,0.8728
model6500_70,Overall,0.755,0.633,0.6886
model6500_70,LOC,0.2206,0.098,0.1357
model6500_70,ORG,0.8144,0.8022,0.8083
model6500_70,PER,0.8795,0.8439,0.8614
model6500_75,Overall,0.7568,0.6128,0.6772
model6500_75,LOC,0.2179,0.1111,0.1472
model6500_75,ORG,0.836,0.7799,0.8069
model6500_75,PER,0.902,0.7977,0.8466
model6500_80,Overall,0.8422,0.5572,0.6707
model6500_80,LOC,0.24,0.0392,0.0674
model6500_80,ORG,0.9052,0.7127,0.7975
model6500_80,PER,0.8535,0.7746,0.8121
estbertner,Overall,0.7581,0.629,0.6876
estbertner,LOC,0.5957,0.366,0.4534
estbertner,ORG,0.7799,0.6082,0.6834
estbertner,PER,0.8148,0.8953,0.8532
opetaja,Overall,0.444,0.5269,0.4819
opetaja,LOC,0.1192,0.2026,0.1501
opetaja,ORG,0.6211,0.6604,0.6401
opetaja,PER,0.6562,0.6069,0.6306
tudeng,Overall,0.752,0.7811,0.7663
tudeng,LOC,0.585,0.5621,0.5733
tudeng,ORG,0.7778,0.8097,0.7934
tudeng,PER,0.8429,0.9306,0.8846
